"dept_name","emp_no","dept_no","last_name","first_name"
"Marketing",110022,"d001","Markovitch","Margareta"
"Marketing",110039,"d001","Minakawa","Vishwani"
"Finance",110085,"d002","Alpin","Ebru"
"Finance",110114,"d002","Legleitner","Isamu"
"Human Resources",110183,"d003","Ossenbruggen","Shirish"
"Human Resources",110228,"d003","Sigstam","Karsten"
"Production",110303,"d004","Wegerle","Krassimir"
"Production",110344,"d004","Cools","Rosine"
"Production",110386,"d004","Kieras","Shem"
"Production",110420,"d004","Ghazalie","Oscar"
"Development",110511,"d005","Hagimont","DeForest"
"Development",110567,"d005","DasSarma","Leon"
"Quality Management",110725,"d006","Onuegbe","Peternela"
"Quality Management",110765,"d006","Hofmeyr","Rutger"
"Quality Management",110800,"d006","Quadeer","Sanjoy"
"Quality Management",110854,"d006","Pesch","Dung"
"Sales",111035,"d007","Kaelbling","Przemyslawa"
"Sales",111133,"d007","Zhang","Hauke"
"Research",111400,"d008","Staelin","Arie"
"Research",111534,"d008","Kambil","Hilary"
"Customer Service",111692,"d009","Butterworth","Tonny"
"Customer Service",111784,"d009","Giarratana","Marjo"
"Customer Service",111877,"d009","Spinelli","Xiaobin"
"Customer Service",111939,"d009","Weedman","Yuchang"
